,score
14050,9.0
13195,8.17
11030,9.0
1320,8.0
16194,9.08
2972,9.0
589,0.0
4593,8.93
5806,10.0
11478,8.5
10532,0.0
2672,8.43
12376,8.18
13501,6.95
10290,6.5
4503,8.63
13585,8.0
8545,7.36
6005,6.5
12698,8.59
9391,7.41
7345,7.0
13055,9.08
11836,8.0
14185,9.6
10951,8.44
3044,8.0
807,7.67
16398,0.0
6463,8.78
7129,8.81
3994,8.81
10724,10.0
6503,9.0
6991,0.0
6166,0.0
8942,0.0
1493,0.0
5196,8.39
13694,9.2
14864,8.74
4363,8.58
9710,8.41
7849,0.0
17997,10.0
9784,9.0
8260,8.8
13925,10.0
15637,1.0
5376,7.75
14904,5.5
3278,0.0
4174,8.73
10848,7.0
7979,9.0
13507,9.0
9614,7.83
11238,10.0
16039,6.33
18102,10.0
7095,10.0
4127,0.0
13816,8.93
3883,8.97
10865,9.29
3256,8.99
1436,9.8
16556,8.5
7215,8.94
18584,6.0
9437,0.0
17921,0.0
8373,8.04
6064,0.0
13425,9.0
10350,8.5
14208,9.0
3913,9.0
15440,10.0
3468,10.0
5436,8.0
17159,0.0
276,0.0
5499,8.0
9444,8.46
17394,6.0
2954,9.15
14436,0.0
14905,8.33
17696,9.5
8155,0.0
2034,8.14
11299,0.0
2035,6.0
15405,8.0
1345,8.05
11180,1.0
3317,10.0
1847,7.54
11732,8.83
11725,8.99
11024,0.0
359,3.0
14774,0.0
5586,8.0
9809,7.17
12165,8.92
5823,8.0
18753,0.0
14349,0.0
13955,9.0
7641,0.0
3849,5.0
734,0.0
9654,7.84
12323,7.0
15997,0.0
1074,8.67
777,8.5
5018,7.81
13424,8.17
13488,0.0
17321,0.0
18241,0.0
10616,9.4
7819,0.0
1171,0.0
15447,10.0
4872,8.57
17637,8.87
7104,9.0
5908,9.09
7854,0.0
18674,0.0
4383,9.15
9667,10.0
12195,1.0
13753,8.6
6258,8.93
15751,0.0
16898,8.0
16815,6.44
3367,0.0
695,0.0
2341,6.0
11262,7.25
14908,8.0
6141,8.0
7909,8.44
1170,0.0
12765,9.2
13025,8.83
5481,7.67
4119,8.69
12149,0.0
11290,9.14
6604,0.0
14496,8.0
2720,9.5
11026,0.0
14286,0.0
4513,7.4
11016,8.86
1457,0.0
18444,7.0
17137,8.5
6873,8.83
5878,8.98
16442,8.78
17020,10.0
16830,8.8
16243,9.0
16510,8.97
18202,0.0
13206,8.62
4724,0.0
17803,6.0
11630,8.14
2788,8.31
18127,0.0
847,9.78
5827,9.0
5317,7.0
12472,8.71
244,0.0
18073,0.0
11545,6.0
13638,9.1
7355,0.0
1111,8.98
17050,10.0
11237,0.0
2618,8.73
10583,8.33
16306,0.0
5404,8.56
12144,8.65
2714,10.0
17502,0.0
14042,10.0
12463,8.33
8645,8.7
7238,9.17
16528,5.5
8602,8.76
5955,7.99
5879,8.25
11202,10.0
3575,8.79
12827,8.74
604,8.0
17905,10.0
17919,0.0
5468,8.3
7183,8.41
17986,0.0
8552,8.3
14632,8.0
4561,0.0
18438,0.0
17787,0.0
6774,0.0
2451,10.0
3647,7.0
6139,10.0
16034,8.3
10305,9.27
3658,5.0
1838,8.44
18529,0.0
7621,8.85
10474,10.0
12531,7.0
13812,9.71
14499,6.5
12793,6.0
11132,0.0
13227,7.11
10186,7.0
1009,0.0
16131,8.33
16698,7.5
9625,8.02
525,8.71
7106,2.0
15710,9.03
9309,0.0
8713,7.72
12355,8.65
6656,0.0
15304,9.06
5295,8.9
14016,8.0
14112,10.0
2120,8.0
4568,10.0
511,6.5
1921,9.17
8918,8.29
17799,8.85
14402,0.0
16174,8.8
14029,9.0
12747,8.52
1103,9.0
711,9.5
5536,7.0
18339,7.0
9692,7.5
6096,9.21
16958,10.0
8673,0.0
16345,0.0
17231,0.0
5294,7.5
4117,0.0
15474,9.82
10054,7.0
235,9.0
11710,7.99
18966,8.74
14281,0.0
10138,8.2
16392,8.77
14975,8.76
14642,8.99
11003,10.0
14407,10.0
18320,0.0
11946,8.88
6392,8.73
2386,6.38
13158,0.0
3109,8.94
11582,8.99
17834,0.0
17262,0.0
9368,8.47
16549,7.91
13383,8.88
15325,9.0
12097,8.78
7846,0.0
18286,0.0
1560,0.0
14001,10.0
15316,9.0
8324,8.91
18757,8.66
17396,7.0
11801,8.86
18050,9.0
1586,0.0
5100,8.7
17392,0.0
13306,8.75
6107,9.83
2900,0.0
6879,9.05
13896,10.0
14865,7.0
12476,8.61
5689,10.0
17130,0.0
8489,8.49
2143,6.0
800,9.29
1297,0.0
9082,8.74
2958,6.83
5659,0.0
15633,7.8
1475,0.0
14981,0.0
12603,0.0
9463,8.12
8488,8.56
17078,8.57
17680,8.85
9192,8.76
15033,0.0
2367,7.67
4179,8.0
12132,8.37
15808,10.0
17599,0.0
2922,0.0
3617,8.72
15754,0.0
10668,8.76
9741,6.98
12524,8.63
3398,8.49
410,0.0
10259,8.43
17992,10.0
10347,10.0
17873,0.0
3025,3.5
2588,9.5
13079,8.27
15539,7.25
14961,8.0
2905,0.0
9275,7.76
11912,8.41
14316,0.0
16065,0.0
5438,8.5
3983,8.79
10282,8.56
11846,0.0
11371,8.73
17181,0.0
1282,0.0
9039,8.06
12731,8.51
455,8.67
6593,8.7
15675,0.0
16675,9.06
2666,10.0
7279,0.0
14089,8.0
11522,10.0
9613,0.0
8564,9.0
8406,8.5
17182,0.0
10622,8.83
2348,10.0
0,9.67
10175,8.75
17967,0.0
8108,8.56
9914,8.5
17891,10.0
7031,8.65
12435,8.67
90,10.0
4669,9.17
7357,0.0
11379,0.0
4071,8.8
7333,9.0
10733,8.3
6905,9.0
12213,0.0
8036,8.95
18121,0.0
294,0.0
6490,8.67
14612,8.0
11235,9.33
8884,8.18
18031,7.0
10820,8.38
8235,9.13
431,9.0
4826,8.67
9132,1.0
1892,8.37
4236,0.0
3072,8.5
12220,8.79
2989,7.33
10673,8.13
17931,9.0
13571,6.86
7411,0.0
3708,8.0
9657,8.2
2571,10.0
12654,8.45
15750,0.0
15127,0.0
544,9.0
10036,9.25
4044,0.0
13655,10.0
12762,7.0
16851,9.02
11886,10.0
575,7.0
6214,9.0
15761,0.0
9421,2.0
18254,10.0
4011,8.85
11608,8.59
12494,9.09
4361,0.0
993,0.0
16895,10.0
18097,0.0
4663,8.77
7847,0.0
10959,9.15
3312,8.64
6651,9.0
10828,8.95
11344,8.62
3533,8.9
2589,8.0
10641,5.5
10418,9.67
17886,9.0
6535,6.0
13300,9.05
501,9.21
13362,8.71
2577,10.0
7392,10.0
5640,6.0
7839,8.75
10910,8.67
18791,10.0
15930,9.05
2742,9.5
11361,5.5
